pair_key,n_models,feature_a,feature_b,mean_support_n,max_support_n,mean_pair_precision,max_pair_precision,mean_pair_recall,mean_pair_fp_rate,mean_pair_precision_lift,max_pair_precision_lift,dominant_recommendation,representative_rule_desc,is_interaction_candidate
348 || 79,1,348,79,3.0,3,0.0,0.0,0.0,0.002564102564102564,0.0,0.0,review,348(high) AND 79(high),0
348 || 95,1,348,95,1.0,1,0.0,0.0,0.0,0.0008547008547008547,0.0,0.0,review,348(high) AND 95(high),0
377 || 56,1,377,56,1.0,1,0.0,0.0,0.0,0.0008547008547008547,0.0,0.0,review,377(low) AND 56(high),0
377 || 64,1,377,64,2.0,2,0.0,0.0,0.0,0.0017094017094017094,0.0,0.0,review,377(low) AND 64(high),0
38 || 510,1,38,510,8.0,8,0.0,0.0,0.0,0.006837606837606838,0.0,0.0,review,38(high) AND 510(high),0
437 || 63,1,437,63,2.0,2,0.0,0.0,0.0,0.0017094017094017094,0.0,0.0,review,437(high) AND 63(high),0
488 || 56,1,488,56,1.0,1,0.0,0.0,0.0,0.0008547008547008547,0.0,0.0,review,488(low) AND 56(high),0
488 || 582,1,488,582,1.0,1,0.0,0.0,0.0,0.0008547008547008547,0.0,0.0,review,488(low) AND 582(high),0
488 || 588,1,488,588,3.0,3,0.0,0.0,0.0,0.002564102564102564,0.0,0.0,review,488(low) AND 588(high),0
510 || 70,2,510,70,2.0,2,0.0,0.0,0.0,0.0017094017094017094,0.0,0.0,review,510(high) AND 70(low),0
59 || 79,2,59,79,3.0,3,0.0,0.0,0.0,0.002564102564102564,0.0,0.0,review,59(high) AND 79(high),0
59 || 95,1,59,95,1.0,1,0.0,0.0,0.0,0.0008547008547008547,0.0,0.0,review,59(high) AND 95(high),0
63 || 95,1,63,95,3.0,3,0.0,0.0,0.0,0.002564102564102564,0.0,0.0,review,63(high) AND 95(high),0
64 || 79,2,64,79,1.0,1,0.0,0.0,0.0,0.0008547008547008547,0.0,0.0,review,64(high) AND 79(high),0
65 || 79,2,65,79,2.0,2,0.0,0.0,0.0,0.0017094017094017094,0.0,0.0,review,65(high) AND 79(high),0
65 || 95,1,65,95,2.0,2,0.0,0.0,0.0,0.0017094017094017094,0.0,0.0,review,65(high) AND 95(high),0
70 || 95,1,70,95,1.0,1,0.0,0.0,0.0,0.0008547008547008547,0.0,0.0,review,70(low) AND 95(high),0
79 || 95,1,79,95,1.0,1,0.0,0.0,0.0,0.0008547008547008547,0.0,0.0,review,79(high) AND 95(high),0
