feature,n_models,mean_pos_mean,mean_neg_mean,mean_pos_median,mean_neg_median,mean_mean_gap,mean_median_gap,mean_p95_gap,mean_ks_stat,max_ks_stat,mean_wasserstein_distance,mean_distribution_sep_score
159,3,0.36550757457101807,-0.025817395163295388,-0.1948089185642451,-0.264076156007183,0.39132496973431347,0.06926723744293789,3.5951319683762364,0.10021624961383997,0.10021624961383997,0.39788038335306536,0.3227161555327094
333,8,0.20572933692786868,-0.014944564147697712,-0.0334140756342098,-0.08066970804367804,0.2206739010755664,0.04725563240946824,0.19029240048915602,0.15275460817629494,0.15275460817629494,0.25775499948752995,0.3221477137128662
144,8,-0.2007756818203348,0.014840782575800338,-0.3701842845049647,-0.1887478866870145,-0.21561646439613516,-0.1814363978179502,-0.5391020501980923,0.1593141797961075,0.1593141797961075,0.23321483642385582,0.321448693714226
511,5,0.2404161742791077,-0.01782157997115354,0.0466545801963687,-0.8374816063277984,0.2582377542502612,0.8841361865241671,0.06440815382957088,0.14846050870147257,0.14846050870147257,0.2595169378440646,0.32116760016120605
324,1,0.1127408464612705,-0.0077260718735882375,0.1746140249570436,-0.14684154585110065,0.12046691833485873,0.32145557080814424,0.029487448998627652,0.13761713520749666,0.13761713520749666,0.18620668562368342,0.32087809041358684
134,1,-0.11805361332990817,0.008451850088150857,-0.2523540383463959,-0.1187760578538048,-0.12650546341805902,-0.13357798049259112,0.05880771021583109,0.14494902687673772,0.14494902687673772,0.1598295515303263,0.3193099857986125
17,1,-0.03797924947951228,0.0035476381049157502,-0.0307224799478913,0.1065131362577163,-0.041526887584428025,-0.1372356162056076,-0.0007624200900311351,0.15697662444650395,0.15697662444650395,0.11216542262724602,0.31442581348017296
10,1,0.11451488701425011,-0.00805464570777001,0.3016871278482487,0.0319771280353688,0.12256953272202012,0.2697099998128799,0.08199183994311432,0.12140871177015755,0.12140871177015755,0.22367164956671626,0.31337642522571435
104,1,-0.16479113245361804,0.011306603251262917,0.2467541600333214,0.0167322120439882,-0.17609773570488096,0.2300219479893332,-0.11501097399466675,0.09833178869323447,0.09833178869323447,0.29561516021627765,0.3124834383905626
44,1,-0.10120969961331822,0.007178567066637968,-0.1904323287212952,0.0413452270831927,-0.10838826667995619,-0.2317775558044879,-0.14853149640115815,0.12292245906703737,0.12292245906703737,0.2128661266557366,0.31023268666641246
547,3,0.22015866884713828,0.013482045428081032,0.2376399667903394,-0.005657968268923799,0.20667662341905724,0.24329793505926323,0.1371244400495064,0.1451446812892596,0.1451446812892596,0.21747820610655144,0.30917724933678786
91,8,0.07668116136219738,-0.005281938497222076,0.1055105095573893,-0.0209631199010839,0.08196309985941946,0.1264736294584732,-0.4196214348818641,0.154762640304809,0.154762640304809,0.22182139927102218,0.30645573842000545
83,1,-0.11332949579357207,0.008039613804159108,-0.1615317944605846,0.0437862427505653,-0.12136910959773117,-0.2053180372111499,-0.16056724384546905,0.1346102358150551,0.1346102358150551,0.1682762839343548,0.30639548838467645
56,10,0.2281230927111355,-0.015453384663354951,0.4347525596944844,0.2906688044599451,0.24357647737449045,0.1440837552345393,-0.02665549471840234,0.1466275357841623,0.1466275357841623,0.2553324422751152,0.30520084445386086
339,1,0.09760460883033815,-0.007094094364986445,0.0219763928836566,0.01014728052373505,0.1046987031953246,0.01182911235992155,0.10115789383435692,0.12229430542683555,0.12229430542683555,0.2040098282630956,0.3045182980504857
280,8,-0.19125403380620762,0.013262983495224088,-0.2617418217641674,-0.1676321209516629,-0.2045170173014317,-0.09410970081250447,-0.475253989103147,0.15355782102770055,0.15355782102770055,0.22010764130278374,0.3031961552590273
544,1,0.047779960063464674,-0.0034916454280483076,0.3018890646394068,0.3018890646394068,0.05127160549151298,0.0,-1.037813850910954,0.10946349500566369,0.10946349500566369,0.23746659583402605,0.30057870732900027
281,8,-0.20095990837102332,0.014229668346613421,-0.3460462940242044,-0.1971477467696444,-0.21518957671763675,-0.14889854725456,-0.10981267860025334,0.15280609617959015,0.15280609617959015,0.21713418162501605,0.3001253923167767
66,1,-0.18631908830404553,0.014517669590368914,-0.1385845563283186,-0.013325296056072,-0.20083675789441444,-0.1252592602722466,-0.1583671010417822,0.11401503449696221,0.11401503449696221,0.213826942739628,0.295782738889743
416,8,-0.20901293890429376,0.01276499833123749,-0.4415347746160978,-0.1530919453867149,-0.22177793723553124,-0.2884428292293829,-0.4197432734107165,0.1340335701781485,0.1340335701781485,0.27343336676048957,0.29453910960502167
200,10,0.23871624589822799,-0.01684079574871647,0.015509658965984902,-0.057164779815555955,0.2555570416469445,0.07267443878154085,0.08015407080212289,0.1367624343527958,0.1367624343527958,0.269327748371516,0.2943528788344702
37,8,0.12398544223598343,-0.00830850661088907,0.1698134591005763,0.0268477368036215,0.1322939488468725,0.1429657222969548,-0.058812363012473945,0.14782205746061167,0.14782205746061167,0.22088298392575195,0.2925436886828125
468,6,-0.13618596076564696,0.009867605696281326,-0.5310808755522319,-0.29347781251061145,-0.1460535664619283,-0.2376030630416205,-0.08800404090273739,0.15479353310678612,0.15479353310678612,0.19638047843209416,0.29166210143995763
560,1,0.12128276064700126,-0.007876697632615337,-0.1299030001162488,-0.2665217178331021,0.1291594582796166,0.13661871771685327,-0.24571278201133628,0.1247451343836886,0.1247451343836886,0.16792465841052068,0.28964707177268467
165,5,0.37967735699459393,-0.026438201194278775,-0.1624892763372483,-0.1572813667047511,0.4061155581888727,-0.005207909632497204,6.789161194664052,0.0775821233652559,0.0775821233652559,0.4256102264054217,0.2894612362542196
NA_72,3,0.3614457831325301,0.5222222222222223,0.0,1.0,-0.16077643908969214,-1.0,0.0,0.1607764390896921,0.1607764390896921,0.16077643908969202,0.2849238326425591
26,3,-0.3600989594485167,0.025167491465277487,0.2441965262740303,0.248332993531762,-0.3852664509137942,-0.004136467257731702,0.0034384384079900743,0.07587272165585418,0.07587272165585418,0.4043208864978684,0.28409397163784966
183,8,0.1408604676062957,-0.010115319192433983,0.4657879776212821,0.01972771604086285,0.1509757867987297,0.4460602615804192,-0.16827420413993321,0.14826485428895067,0.14826485428895067,0.20036174982926966,0.28222296727244683
57,6,-0.18687531063459403,0.013460956350731515,-0.1299185746106598,0.037084147270272,-0.20033626698532556,-0.1670027218809318,0.009543012678895568,0.14162290186386572,0.14162290186386572,0.22026790684321854,0.2791243417981706
