feature,n_models,mean_tp_mean_positive_shap,max_tp_mean_positive_shap,mean_fp_mean_positive_shap,mean_tp_fp_shap_gap,mean_tp_positive_push_rate,mean_fp_positive_push_rate,mean_tp_vs_tn_smd,mean_tp_vs_fp_smd,avg_tp_trigger_rate,avg_fp_trigger_rate,avg_tn_trigger_rate,fp_evidence_coverage,dominant_monitor_direction,appeared_in_topn_models,avg_rank,best_rank,worst_rank,avg_mean_positive_shap,max_mean_positive_shap,appeared_categories,appeared_feature_sets,tp_fp_ratio,score_tp_shap,score_gap,score_ratio,score_fp_penalty,final_candidate_score,tp_signal_available,gap_positive,ratio_pass,tp_fp_priority_candidate,recommendation
348,10,0.1492661771873253,0.6008928918685454,0.05799020234024651,0.09127597484707879,0.7013821951338487,0.44556506849315064,1.107298072786463,0.40420512916861695,0.05132191149630959,0.031570227234289275,0.01032609090133906,1.0,high,4.0,5.75,5.0,8.0,0.16406919877048115,0.6008928918685454,supervised,"Base,RFERF",2.5739895907162786,0.25472161972254026,0.5694392364611558,0.10921574033322372,0.9221433626480839,0.386777903158816,1,1,1,1,monitor_first
21,10,0.15532280168720422,0.4360840612234356,0.09376738090543094,0.061555420781773285,0.7227573275687086,0.48087328767123283,0.796851482303359,0.25983342315676977,0.09938026394581205,0.060297829343139764,0.01032609090133906,1.0,high,2.0,7.5,6.0,9.0,0.3836452702731622,0.4360840612234356,supervised,"RFERF,RFEXGB",1.6564694479827158,0.2650572043253687,0.5017733020967233,0.08377563152916931,0.8741095447855255,0.3607209531435509,1,1,1,1,monitor_first
437,3,0.10538055142730103,0.2513686427597865,0.026981305656938306,0.07839924577036272,0.7967032967032966,0.17916666666666667,0.5460634522176749,0.33903090870209596,0.05287466157031375,0.013080900864121928,0.010125803967312393,1.0,high,,,,,,,,,3.905687618204724,0.17983112619766267,0.5401222895893347,0.13637322982857694,0.9637753681649851,0.3576213201380794,1,1,1,1,monitor_first
22,3,0.13971976769582573,0.36721558187950426,0.08372920311405395,0.05599056458177178,0.8507326007326007,0.4041666666666666,-0.5939227777403576,-0.2571607893108178,0.07584806497849976,0.05006794914939434,0.010125803967312393,1.0,low,,,,,,,,,1.6687101094883556,0.23843074302139913,0.48910357886244565,0.08416983953836227,0.8875866277484675,0.3476960015498126,1,1,1,1,monitor_first
70,3,0.11508122434564254,0.26795437232655805,0.04812578444756612,0.06695543989807641,0.8928571428571429,0.3125,-0.6327273374942243,-0.3889384211828339,0.09675107501194458,0.05665221253096329,0.010125803967312393,1.0,low,2.0,8.5,8.0,9.0,0.03864465035518476,0.04840294537553844,supervised,ANOVA,2.391259190196173,0.19638525228784534,0.5140677343703463,0.10471558106669979,0.9353871585923025,0.3472562532988122,1,1,1,1,monitor_first
582,10,0.12951177768700323,0.30566460547399693,0.08279790475852575,0.046713872928477465,0.735505369621804,0.3856849315068493,0.4491570085047293,0.23605936794939003,0.07202307836600984,0.01885069673202526,0.010546598067821971,1.0,high,2.0,7.5,5.0,10.0,0.13768992982517628,0.21622404157388297,supervised,"ANOVA,RFEXGB",1.5641914860613344,0.22101088409451314,0.4679829763611733,0.0807440323092356,0.8888369727275619,0.33383175028076056,1,1,1,1,monitor_first
561,3,0.13080167494276734,0.27872628172442726,0.08630838647506574,0.04449328846770161,0.45445134575569357,0.38658675799086756,0.18304967350454018,0.11024778815079007,0.0,0.011055122919529698,0.011778811730814546,1.0,high,,,,,,,,,1.51551523884131,0.22321208415507043,0.46292728587695914,0.07910062282530708,0.8841238610137664,0.332395530091554,1,1,1,1,monitor_first
302,1,0.09226336501988064,0.09226336501988064,0.03455410093800743,0.057709264081873206,0.39285714285714285,0.4875,0.37557368914805184,0.433564530871473,0.03571428571428571,0.005405405405405406,0.01015228426395939,1.0,high,,,,,,,,,2.670113315505092,0.1574467452825713,0.4930166084550469,0.11149149539744477,0.9536082648933121,0.3285428062183628,1,1,1,1,monitor_first
26,3,0.11337537142051196,0.3119065406307984,0.06888785590968047,0.044487515510831493,0.7290969899665551,0.25,-0.7050267226032082,-0.18348631579494343,0.04937091893613632,0.013192249199597638,0.011213292244184292,1.0,high,,,,,,,,,1.6457961991030683,0.19347422697530997,0.46291414236288453,0.08343041642656861,0.9075123624497385,0.323701253029277,1,1,1,1,monitor_first
38,3,0.09636001530624157,0.17966030709116204,0.04597747019293894,0.05038254511330261,0.8809523809523809,0.3499999999999999,0.33195733883596074,0.017827219216669982,0.06569517439082656,0.06378209195110603,0.010125803967312393,1.0,high,2.0,2.0,2.0,2.0,0.05470986941378132,0.07034231462365358,supervised,ANOVA,2.095809423656376,0.16443764848677872,0.4763355841462612,0.09689948729287606,0.9382714479565487,0.32188277689281997,1,1,1,1,monitor_first
